id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,1,3C FRANKED @ 30%; DR P,2017-09-25,0.03,2017-08-25,2017-08-28,AQF,Final
,1,3C FRANKED @30%; SPE CIAL; DRP,2018-01-12,0.03,2017-11-24,2017-11-27,AQF,Interim
,1,5C FRANKED @30%; 2C  SPECIAL; DRP,2018-03-29,0.05,2018-03-02,2018-03-05,AQF,Interim
,0,0.9357C TAX DEFERRED ; DRP,2017-08-10,0.03075,2017-06-29,2017-06-30,ARF,Final
,0,DRP,2017-11-09,0.032,2017-09-28,2017-09-29,ARF,Interim
,0,1.109C TAX DEFERRED;  DRP,2018-02-08,0.032,2017-12-28,2017-12-29,ARF,Interim
,0,DRP,2018-05-10,0.032,2018-03-28,2018-03-29,ARF,Interim
,1,16C FRANKED@30%;5C L IC CG;DRP,2017-09-15,0.16,2017-08-25,2017-08-28,ARG,Final
,1,15.5C FRANKED@30%;DR P,2018-03-09,0.155,2018-02-16,2018-02-19,ARG,Interim
,0,UNFRANKED;NIL CFI;DR P NIL DISC,2017-12-21,0.0463,2017-11-20,2017-11-21,AST,Interim
,1,1.1C FRANKED @ 30%;  DRP,2017-09-25,0.011,2017-08-29,2017-08-30,AUF,Final
,1,1.1C FRANKED @ 30%;  DRP,2018-03-29,0.011,2018-02-27,2018-02-28,AUF,Interim
,1,18.5C FRANKED@30%; D RP NIL DISCOUNT,2017-09-22,0.185,2017-08-30,2017-08-31,AUI,Final
,1,16C FRANKED@30%; DRP  NIL DISCOUNT,2018-03-14,0.16,2018-02-22,2018-02-23,AUI,Interim
,0,DRP NIL DISCOUNT,2017-07-28,0.1,2017-06-29,2017-06-30,AUP,Final
,0,DRP NIL DISCOUNT,2017-10-12,0.0932,2017-09-28,2017-09-29,AUP,Interim
,0,DRP NIL DISCOUNT,2018-01-18,0.0895,2017-12-28,2017-12-29,AUP,Interim
,0,DRP NIL DISCOUNT,2018-04-19,0.0868,2018-03-28,2018-03-29,AUP,Interim
,0.4,3.53938C FRANKED@30% ; DRP NIL DISCOUNT,2017-07-17,0.0875,2017-06-29,2017-06-30,AYF,Final
,0.46,4.013625C FRANKED@30 %; DRP NIL DISCOUNT,2017-10-16,0.0875,2017-09-28,2017-09-29,AYF,Interim
,0.43,3.7695C FRANKED@30%;  DRP SUSPENDED,2018-01-15,0.0875,2017-12-28,2017-12-29,AYF,Interim
,0.5,4.3951C FRANKED@30%;  DRP SUSPENDED,2018-04-16,0.0875,2018-03-28,2018-03-29,AYF,Interim
,0.05,2.4C FRANKED @ 27.5% ; NIL CFI,2017-08-28,0.48,2017-08-10,2017-08-11,AYJ,Final
,0.05,2.6C FRANKED @ 30%;  NIL CFI,2017-11-30,0.52,2017-11-17,2017-11-20,AYJ,Interim
,0,UNFRANKED; NIL CFI S PECIAL,2018-03-09,0.53,2018-03-01,2018-03-02,AYJ,Interim
,0.9,30.6C FRANKED @ 27.5 %; NIL CFI,2017-08-28,0.34,2017-08-10,2017-08-11,AYK,Final
,0.9,25.2C FRANKED @ 30%;  NIL CFI,2017-11-30,0.28,2017-11-17,2017-11-20,AYK,Interim
,1,28C FRANKED @ 30%; N IL CFI,2018-03-09,0.28,2018-03-01,2018-03-02,AYK,Interim
,0.6,41.4C FRANKED @ 27.5 %; NIL CFI,2017-08-28,0.69,2017-08-10,2017-08-11,AYZ,Final
,1,44C FRANKED @ 30%,2017-11-30,0.44,2017-11-17,2017-11-20,AYZ,Interim
,1,53C FRANKED @ 30%,2018-03-09,0.53,2018-03-01,2018-03-02,AYZ,Interim
,1,4C FRANKED @ 30%; DR P,2017-09-18,0.04,2017-08-25,2017-08-28,BAF,Final
,1,1C FRANKED @ 30%; DR P,2018-03-27,0.01,2018-03-01,2018-03-02,BAF,Interim
,1,0.5C FRANKED@27.5%;  DRP,2017-08-31,0.005,2017-08-16,2017-08-17,BEL,Final
,1,0.5C FRANKED@27.5%;  DRP,2018-01-25,0.005,2018-01-11,2018-01-12,BEL,Interim
,0.1,1.2C FRANKED @ 30%;  SPECIAL; DRP,2018-03-09,0.12,2018-02-08,2018-02-09,BHD,Interim
,1,3.7C FRANKED @ 30%;  DRP NIL DISCOUNT,2017-08-23,0.037,2017-08-04,2017-08-07,BKI,Final
,1,3.625C FRANKED @ 30% ; DRP NIL DISCOUNT,2018-02-28,0.03625,2018-02-12,2018-02-13,BKI,Interim
,1,1.5C FRANKED@30%; DR P NIL DISCOUNT,2017-09-22,0.015,2017-09-05,2017-09-06,BST,Final
,1,1.25C FRANKED@30%; D RP NIL DISCOUNT,2018-03-23,0.0125,2018-03-08,2018-03-09,BST,Interim
,1,1.8C FRANKED @ 30%,2017-10-20,0.018,2017-09-28,2017-09-29,BWF,Final
,1,1.9C FRANKED @ 27.5%,2018-04-11,0.019,2018-03-20,2018-03-21,BWF,Interim
,0,2.0774C TAX DEF; DRP  NIL DISCOUNT,2017-08-25,0.0888,2017-06-29,2017-06-30,BWP,Final
,0,0.6157C TAX DEF; DRP  NIL DISCOUNT,2018-02-23,0.0878,2017-12-28,2017-12-29,BWP,Interim
,0,100% TAX DEFERRED,2017-10-18,0.065,2017-09-26,2017-09-27,BWR,Final
,0,100% TAX DEFERRED,2018-04-09,0.05,2018-03-16,2018-03-19,BWR,Interim
,1,1.25C FRANKED @ 30%;  DRP,2017-07-28,0.0125,2017-07-06,2017-07-07,CAM,Final
,1,1.25C FRANKED @ 30%;  DRP,2017-10-27,0.0125,2017-10-03,2017-10-04,CAM,Interim
,1,1.25C FRANKED @ 30%;  DRP,2018-01-25,0.0125,2018-01-03,2018-01-04,CAM,Interim
,1,1.25C FRANKED @ 30%;  DRP,2018-04-27,0.0125,2018-04-03,2018-04-04,CAM,Interim
,1,1.55C FRANKED @27.5% ; DRP,2017-11-16,0.0155,2017-11-07,2017-11-08,CBC,Final
